id,question,answer,category
1,What is the mechanism of action of beta-blockers?,"Beta-blockers inhibit beta-adrenergic receptors, reducing heart rate, contractility, and renin release. They are used in hypertension, arrhythmias, angina, and heart failure. Adverse effects include bradycardia, fatigue, and bronchospasm.",Pharmacology
2,How does aspirin act as an antiplatelet agent?,"Aspirin irreversibly inhibits COX-1, decreasing thromboxane A2 synthesis and platelet aggregation. It is used for cardiovascular prevention. Major adverse effects include gastrointestinal bleeding and peptic ulcer disease.",Pharmacology
3,What is apoptosis?,"Apoptosis is programmed cell death characterized by cell shrinkage, chromatin condensation, and apoptotic body formation without significant inflammation. It plays a key role in development and tissue homeostasis.",Pathology
4,What is coagulative necrosis?,Coagulative necrosis is a pattern of cell death in which tissue architecture is preserved for several days. It commonly occurs after ischemia in solid organs such as the heart and kidneys.,Pathology
5,How is cardiac output calculated?,Cardiac output equals heart rate multiplied by stroke volume. It represents the volume of blood pumped by the heart per minute and is a key determinant of tissue perfusion.,Physiology
6,What is the Frank-Starling mechanism?,"The Frank-Starling law states that increased ventricular filling stretches myocardial fibers, producing a stronger contraction and increasing stroke volume within physiological limits.",Physiology
7,What structures pass through the carotid sheath?,"The carotid sheath contains the common/internal carotid artery, internal jugular vein, and vagus nerve. These structures are clinically important during neck surgery.",Anatomy
8,What is the blood supply of the heart?,"The heart is supplied by the right and left coronary arteries, which arise from the ascending aorta. Obstruction can lead to myocardial ischemia and infarction.",Anatomy
9,What is the Gram stain principle?,"Gram staining differentiates bacteria based on cell wall structure. Gram-positive bacteria retain crystal violet, whereas gram-negative bacteria lose it and take up the counterstain.",Microbiology
10,How is tuberculosis diagnosed?,"Tuberculosis is diagnosed using sputum microscopy, nucleic acid amplification tests, culture, and imaging. Diagnosis is supported by clinical findings and epidemiological risk factors.",Microbiology
11,What is diabetes mellitus?,"Diabetes mellitus is a metabolic disorder characterized by chronic hyperglycemia due to impaired insulin secretion, insulin action, or both. Long-term complications affect vessels, nerves, kidneys, and eyes.",Medicine
12,What are the diagnostic criteria for hypertension?,"Hypertension is diagnosed by persistently elevated blood pressure, generally ≥140/90 mmHg in clinic settings, confirmed with repeated measurements or ambulatory monitoring.",Medicine
13,What is acute coronary syndrome?,"Acute coronary syndrome includes unstable angina, NSTEMI, and STEMI caused by reduced coronary blood flow. Management includes antiplatelets, anticoagulation, and reperfusion when indicated.",Cardiology
14,How is heart failure treated?,"Heart failure treatment includes ACE inhibitors, beta-blockers, mineralocorticoid antagonists, SGLT2 inhibitors, diuretics, lifestyle modification, and management of underlying causes.",Cardiology
15,What is hypothyroidism?,"Hypothyroidism is a deficiency of thyroid hormone leading to fatigue, weight gain, cold intolerance, and bradycardia. Diagnosis relies on elevated TSH with low free T4 in primary disease.",Endocrinology
16,How is diabetic ketoacidosis managed?,"Management includes intravenous fluids, insulin therapy, potassium monitoring and replacement, and treatment of precipitating causes. Early recognition reduces morbidity and mortality.",Endocrinology
17,What is the mechanism of action of beta-blockers?,"Beta-blockers inhibit beta-adrenergic receptors, reducing heart rate, contractility, and renin release. They are used in hypertension, arrhythmias, angina, and heart failure. Adverse effects include bradycardia, fatigue, and bronchospasm.",Pharmacology
18,How does aspirin act as an antiplatelet agent?,"Aspirin irreversibly inhibits COX-1, decreasing thromboxane A2 synthesis and platelet aggregation. It is used for cardiovascular prevention. Major adverse effects include gastrointestinal bleeding and peptic ulcer disease.",Pharmacology
19,What is apoptosis?,"Apoptosis is programmed cell death characterized by cell shrinkage, chromatin condensation, and apoptotic body formation without significant inflammation. It plays a key role in development and tissue homeostasis.",Pathology
